Region,BGC,Unit,Spp,RefSuit,ESuitAB,ESuit,Comment,NonProd,FN1,FN2,FN3,FN4,FN5,FN6
Nelson,ESSFmm3,ESSFmm3/102,Fd,1,,2,,,,,,,,
Nelson,ESSFmm3,ESSFmm3/102,Pl,2,,2,,,,,,,,
Approx,BAFAun,BAFAun/00,X,,,5,,,,,,,,
Approx,BAFAunp,BAFAunp/00,X,,,5,,,,,,,,
Approx,CMAun,CMAun/00,X,,,5,,,,,,,,
Approx,CMAunp,CMAunp/00,X,,,5,,,,,,,,
Approx,CMAwh,CMAwh/00,X,,,5,,,,,,,,
Approx,IMAun,IMAun/00,X,,,5,,,,,,,,
Approx,IMAunp,IMAunp/00,X,,,5,,,,,,,,
Approx,SWBmks,SWBmks/00,X,,,5,,,,,,,,
Approx,SWBuns,SWBuns/00,X,,,5,,,,,,,,
Approx,SWBvks,SWBvks/00,X,,,5,,,,,,,,
Pr George,ESSFmm2,ESSFmm2/01,Bl,1,1,1,,,,,,,,
Pr George,ESSFmm2,ESSFmm2/01,Pl,2,2,2,,,,,,,,
Pr George,ESSFmm2,ESSFmm2/02,Bl,1,1,2,,,28,,,,,
Pr George,ESSFmm2,ESSFmm2/02,Pl,1,1,1,,,,,,,,
Pr George,ESSFmm2,ESSFmm2/03,Bl,2,2,2,,,28,,,,,
Pr George,ESSFmm2,ESSFmm2/03,Pl,1,1,1,,,,,,,,
Pr George,ESSFmm2,ESSFmm2/04,Bl,1,1,1,,,,,,,,
Pr George,ESSFmm2,ESSFmm2/04,Pl,2,2,2,,,,,,,,
Pr George,ESSFmm2,ESSFmm2/05,Bl,1,1,1,,,,,,,,
Pr George,ESSFmm2,ESSFmm2/05,Pl,2,2,2,,,,,,,,
Pr George,ESSFmm2,ESSFmm2/06,Bl,1,1,1,,,,,,,,
Pr George,ESSFmm2,ESSFmm2/06,Pl,2,2,2,,,,,,,,
Pr George,ESSFmm2,ESSFmm2/07,Bl,1,1,2,Marginal Productivity,NonProd,1,32,,,,
Pr George,ESSFmm2,ESSFmm2/07,Pl,2,2,2,Marginal Productivity,NonProd,1,,,,,
Nelson,IDFxh4,IDFxh4/01,At,0,3,3,,,901,,,,,
Nelson,IDFxh4,IDFxh4/01,Fd,1,1,1,,,27,,,,,
Nelson,IDFxh4,IDFxh4/01,Lw,2,3,3,,,1,10,13,32,,
Nelson,IDFxh4,IDFxh4/01,Py,1,1,1,,,,,,,,
Nelson,IDFxh4,IDFxh4/02,Fd,2,2,2,,,27,,,,,
Nelson,IDFxh4,IDFxh4/02,Py,1,1,2,Marginal Productivity,NonProd,27,,,,,
Nelson,IDFxh4,IDFxh4/03,Fd,2,2,2,,,27,,,,,
Nelson,IDFxh4,IDFxh4/03,Py,1,1,1,,,,,,,,
Nelson,IDFxh4,IDFxh4/04,Fd,2,2,2,,,27,,,,,
Nelson,IDFxh4,IDFxh4/04,Py,1,1,1,,,,,,,,
Nelson,IDFxh4,IDFxh4/05,Fd,2,2,2,,,27,,,,,
Nelson,IDFxh4,IDFxh4/05,Py,1,1,1,,,,,,,,
Nelson,IDFxh4,IDFxh4/06,At,0,3,3,,,901,,,,,
Nelson,IDFxh4,IDFxh4/06,Fd,1,1,1,,,27,,,,,
Nelson,IDFxh4,IDFxh4/06,Lw,2,2,2,,,1,10,13,32,,
Kamloops,BGxh1,BGxh1/04,Fd,3,2,2,,,27,,,,,
Kamloops,BGxh1,BGxh1/04,Py,1,1,2,Marginal Productivity,NonProd,27,,,,,
Kamloops,BGxh1,BGxh1/05,At,0,3,3,Marginal Productivity,NonProd,901,,,,,
Kamloops,BGxh1,BGxh1/05,Fd,2,2,2,,,27,,,,,
Kamloops,BGxh1,BGxh1/05,Py,1,1,2,Marginal Productivity,NonProd,27,,,,,
Kamloops,BGxh1,BGxh1/06,Act,0,2,2,Marginal Productivity,NonProd,901,,,,,
Kamloops,BGxh1,BGxh1/06,At,0,3,3,Marginal Productivity,NonProd,901,,,,,
Kamloops,BGxh1,BGxh1/06,Ep,0,3,3,Marginal Productivity,NonProd,901,,,,,
Kamloops,BGxh1,BGxh1/06,Fd,1,1,2,Marginal Productivity,NonProd,,,,,,
Kamloops,BGxh1,BGxh1/06,Py,1,1,2,Marginal Productivity,NonProd,,,,,,
Kamloops,BGxh1,BGxh1/07,Act,0,2,2,Marginal Productivity,NonProd,901,,,,,
Kamloops,BGxh1,BGxh1/07,At,0,3,3,Marginal Productivity,NonProd,901,,,,,
Kamloops,BGxh1,BGxh1/07,Ep,0,3,3,Marginal Productivity,NonProd,901,,,,,
Kamloops,BGxh1,BGxh1/07,Fd,2,2,2,,,1,,,,,
Kamloops,BGxh1,BGxh1/07,Pl,1,1,2,Marginal Productivity,NonProd,1,23,,,,
Kamloops,BGxh1,BGxh1/07,Py,2,2,2,Marginal Productivity,NonProd,1,,,,,
Kamloops,BGxh1,BGxh1/07,Sx,1,1,2,Marginal Productivity,NonProd,1,,,,,
Kamloops,BGxh2,BGxh2/03,Py,2,2,2,Marginal Productivity,NonProd,27,,,,,
Kamloops,BGxh2,BGxh2/04,Fd,1,3,3,,,27,,,,,
Kamloops,BGxh2,BGxh2/04,Py,1,2,2,Marginal Productivity,NonProd,27,,,,,
Kamloops,BGxh2,BGxh2/07,Act,0,2,2,Marginal Productivity,NonProd,901,,,,,
Kamloops,BGxh2,BGxh2/07,At,0,3,3,Marginal Productivity,NonProd,901,,,,,
Kamloops,BGxh2,BGxh2/07,Ep,0,3,3,Marginal Productivity,NonProd,901,,,,,
Kamloops,BGxh2,BGxh2/07,Fd,2,2,2,,,1,,,,,
Kamloops,BGxh2,BGxh2/07,Py,2,2,2,Marginal Productivity,NonProd,1,,,,,
Kamloops,BGxh2,BGxh2/07,Sx,3,3,3,Marginal Productivity,NonProd,1,,,,,
Kamloops,BGxw1,BGxw1/03,Fd,3,3,3,,,27,,,,,
Kamloops,BGxw1,BGxw1/03,Py,2,2,2,Marginal Productivity,NonProd,27,,,,,
Kamloops,BGxw1,BGxw1/05,Fd,2,3,3,,,27,,,,,
Kamloops,BGxw1,BGxw1/05,Py,2,2,2,Marginal Productivity,NonProd,27,,,,,
Kamloops,BGxw1,BGxw1/08,At,0,3,3,,,901,,,,,
Kamloops,BGxw1,BGxw1/08,Fd,3,3,3,,,32,,,,,
BWBS2012,BWBSdk,BWBSdk/101,At,0,2,1,,,901,,,,,
BWBS2012,BWBSdk,BWBSdk/101,Bl,2,2,2,,,,,,,,
BWBS2012,BWBSdk,BWBSdk/101,Ep,0,3,3,,,901,,,,,
BWBS2012,BWBSdk,BWBSdk/101,Pl,1,1,1,,,,,,,,
BWBS2012,BWBSdk,BWBSdk/101,Sb,3,3,3,,,,,,,,
BWBS2012,BWBSdk,BWBSdk/102,At,0,3,3,,,901,,,,,
BWBS2012,BWBSdk,BWBSdk/102,Bl,3,3,3,,,53,,,,,
BWBS2012,BWBSdk,BWBSdk/102,Pl,1,1,1,,,,,,,,
BWBS2012,BWBSdk,BWBSdk/102,Sb,3,3,3,,,,,,,,
BWBS2012,BWBSdk,BWBSdk/103,At,0,2,2,,,901,,,,,
BWBS2012,BWBSdk,BWBSdk/103,Bl,2,2,2,,,,,,,,
BWBS2012,BWBSdk,BWBSdk/103,Ep,0,3,3,,,901,,,,,
BWBS2012,BWBSdk,BWBSdk/103,Pl,1,1,1,,,,,,,,
BWBS2012,BWBSdk,BWBSdk/103,Sb,3,3,3,,,,,,,,
BWBS2012,BWBSdk,BWBSdk/104,At,0,2,2,,,901,,,,,
BWBS2012,BWBSdk,BWBSdk/104,Bl,3,3,3,,,53,,,,,
BWBS2012,BWBSdk,BWBSdk/104,Pl,1,1,1,,,1,,,,,
BWBS2012,BWBSdk,BWBSdk/104,Sb,1,1,1,,,1,,,,,
BWBS2012,BWBSdk,BWBSdk/110,At,0,2,2,,,901,,,,,
BWBS2012,BWBSdk,BWBSdk/110,Bl,3,3,3,,,53,,,,,
BWBS2012,BWBSdk,BWBSdk/110,Ep,0,3,3,,,901,,,,,
BWBS2012,BWBSdk,BWBSdk/110,Pl,2,2,2,,,1,,,,,
BWBS2012,BWBSdk,BWBSdk/110,Sb,3,3,3,,,,,,,,
BWBS2012,BWBSdk,BWBSdk/111,At,0,3,3,,,901,,,,,
BWBS2012,BWBSdk,BWBSdk/111,Bl,3,3,3,,,53,,,,,
BWBS2012,BWBSdk,BWBSdk/111,Ep,0,3,3,,,901,,,,,
BWBS2012,BWBSdk,BWBSdk/111,Pl,2,2,2,,,1,,,,,
BWBS2012,BWBSdk,BWBSdk/111,Sb,3,3,3,,,,,,,,
BWBS2012,BWBSmk,BWBSmk/101,At,0,2,1,,,59,900,,,,
BWBS2012,BWBSmk,BWBSmk/101,Ep,0,2,2,,,901,,,,,
BWBS2012,BWBSmk,BWBSmk/101,Pl,,1,1,,,,,,,,
BWBS2012,BWBSmk,BWBSmk/101,Sb,3,3,3,,,,,,,,
BWBS2012,BWBSmk,BWBSmk/102,At,0,3,3,,,901,,,,,
BWBS2012,BWBSmk,BWBSmk/102,Pl,1,1,1,,,,,,,,
BWBS2012,BWBSmk,BWBSmk/102,Sb,3,3,3,,,,,,,,
BWBS2012,BWBSmk,BWBSmk/103,At,0,2,2,,,901,,,,,
BWBS2012,BWBSmk,BWBSmk/103,Ep,0,2,2,,,901,,,,,
BWBS2012,BWBSmk,BWBSmk/103,Pl,1,1,1,,,,,,,,
BWBS2012,BWBSmk,BWBSmk/104,At,0,3,3,,,901,,,,,
BWBS2012,BWBSmk,BWBSmk/104,Lt,2,2,2,,,,,,,,
BWBS2012,BWBSmk,BWBSmk/104,Pl,1,2,2,,,,,,,,
BWBS2012,BWBSmk,BWBSmk/104,Sb,1,1,1,,,,,,,,
BWBS2012,BWBSmk,BWBSmk/110,At,0,3,3,,,901,,,,,
BWBS2012,BWBSmk,BWBSmk/110,Ep,0,3,3,,,901,,,,,
BWBS2012,BWBSmk,BWBSmk/110,Pl,2,2,2,,,1,,,,,
BWBS2012,BWBSmk,BWBSmk/110,Sb,3,3,3,,,,,,,,
BWBS2012,BWBSmk,BWBSmk/111,At,0,3,3,,,901,,,,,
BWBS2012,BWBSmk,BWBSmk/111,Ep,0,3,3,,,901,,,,,
BWBS2012,BWBSmk,BWBSmk/111,Pl,2,2,2,,,1,,,,,
BWBS2012,BWBSmk,BWBSmk/111,Sb,3,3,3,,,,,,,,
BWBS2012,BWBSmw,BWBSmw/101,At,0,1,1,,,59,900,,,,
BWBS2012,BWBSmw,BWBSmw/101,At,0,1,1,,,901,,,,,
BWBS2012,BWBSmw,BWBSmw/101,Ep,0,3,3,,,901,,,,,
BWBS2012,BWBSmw,BWBSmw/101,Pl,,1,1,,,,,,,,
BWBS2012,BWBSmw,BWBSmw/101,Sb,3,3,3,,,,,,,,
BWBS2012,BWBSmw,BWBSmw/102,At,0,2,2,,,901,,,,,
BWBS2012,BWBSmw,BWBSmw/102,Pl,1,1,1,,,,,,,,
BWBS2012,BWBSmw,BWBSmw/103,At,0,1,1,,,901,,,,,
BWBS2012,BWBSmw,BWBSmw/103,Pl,1,1,1,,,,,,,,
BWBS2012,BWBSmw,BWBSmw/104,At,0,3,3,,,901,,,,,
BWBS2012,BWBSmw,BWBSmw/104,Pl,1,1,1,,,,,,,,
BWBS2012,BWBSmw,BWBSmw/104,Sb,3,1,1,,,,,,,,
BWBS2012,BWBSmw,BWBSmw/110,At,0,2,2,,,901,,,,,
BWBS2012,BWBSmw,BWBSmw/110,Ep,0,3,3,,,901,,,,,
BWBS2012,BWBSmw,BWBSmw/110,Pl,2,2,2,,,,,,,,
BWBS2012,BWBSmw,BWBSmw/110,Sb,3,3,3,,,,,,,,
BWBS2012,BWBSmw,BWBSmw/111,Pl,2,2,2,,,1,,,,,
BWBS2012,BWBSwk1,BWBSwk1/101,At,0,2,2,,,901,,,,,
BWBS2012,BWBSwk1,BWBSwk1/101,Pl,1,1,1,,,,,,,,
BWBS2012,BWBSwk1,BWBSwk1/102,Pl,1,1,1,,,,,,,,
BWBS2012,BWBSwk1,BWBSwk1/103,At,0,3,3,,,901,,,,,
BWBS2012,BWBSwk1,BWBSwk1/103,Pl,1,1,1,,,,,,,,
BWBS2012,BWBSwk1,BWBSwk1/104,At,0,3,3,,,901,,,,,
BWBS2012,BWBSwk1,BWBSwk1/104,Pl,1,1,1,,,,,,,,
BWBS2012,BWBSwk1,BWBSwk1/104,Sb,3,1,1,,,,,,,,
BWBS2012,BWBSwk1,BWBSwk1/110,Pl,2,2,2,,,1,,,,,
BWBS2012,BWBSwk1,BWBSwk1/111,Lt,2,2,2,,,,,,,,
BWBS2012,BWBSwk1,BWBSwk1/111,Pl,1,1,1,,,,,,,,
BWBS2012,BWBSwk1,BWBSwk1/111,Sb,1,1,1,,,,,,,,
BWBS2012,BWBSwk2,BWBSwk2/101,At,0,2,2,,,901,,,,,
BWBS2012,BWBSwk2,BWBSwk2/101,Pl,,1,1,,,,,,,,
BWBS2012,BWBSwk2,BWBSwk2/102,Pl,1,1,1,,,,,,,,
BWBS2012,BWBSwk2,BWBSwk2/103,At,0,3,3,,,901,,,,,
BWBS2012,BWBSwk2,BWBSwk2/103,Pl,1,1,1,,,,,,,,
BWBS2012,BWBSwk2,BWBSwk2/103,Sb,3,3,3,,,,,,,,
BWBS2012,BWBSwk2,BWBSwk2/104,At,0,3,3,,,901,,,,,
BWBS2012,BWBSwk2,BWBSwk2/104,Pl,1,1,1,,,,,,,,
BWBS2012,BWBSwk2,BWBSwk2/110,At,0,3,3,,,901,,,,,
BWBS2012,BWBSwk2,BWBSwk2/110,Ep,0,3,3,,,901,,,,,
BWBS2012,BWBSwk2,BWBSwk2/110,Pl,2,2,2,,,,,,,,
BWBS2012,BWBSwk2,BWBSwk2/111,Pl,2,2,2,,,1,,,,,
BWBS2012,BWBSwk3,BWBSwk3/101,Acb,0,3,3,,,900,,,,,
BWBS2012,BWBSwk3,BWBSwk3/101,At,0,3,3,,,901,,,,,
BWBS2012,BWBSwk3,BWBSwk3/101,Bl,2,1,1,,,,,,,,
BWBS2012,BWBSwk3,BWBSwk3/101,Pl,,2,2,,,,,,,,
BWBS2012,BWBSwk3,BWBSwk3/101,Sb,2,3,3,,,,,,,,
BWBS2012,BWBSwk3,BWBSwk3/102,At,0,3,3,,,,,,,,
BWBS2012,BWBSwk3,BWBSwk3/102,Bl,3,3,3,,,,,,,,
BWBS2012,BWBSwk3,BWBSwk3/102,Pl,1,1,1,,,,,,,,
BWBS2012,BWBSwk3,BWBSwk3/102,Sb,2,3,3,,,,,,,,
BWBS2012,BWBSwk3,BWBSwk3/103,At,0,3,3,,,,,,,,
BWBS2012,BWBSwk3,BWBSwk3/103,Bl,3,3,3,,,,,,,,
BWBS2012,BWBSwk3,BWBSwk3/103,Pl,1,1,1,,,,,,,,
BWBS2012,BWBSwk3,BWBSwk3/103,Sb,1,1,1,,,,,,,,
BWBS2012,BWBSwk3,BWBSwk3/110,Bl,1,1,1,,,,,,,,
BWBS2012,BWBSwk3,BWBSwk3/110,Lt,2,2,2,,,,,,,,
BWBS2012,BWBSwk3,BWBSwk3/110,Pl,3,3,3,,,,,,,,
BWBS2012,BWBSwk3,BWBSwk3/110,Sb,2,2,2,,,,,,,,
BWBS2012,BWBSwk3,BWBSwk3/110,Sx,1,1,1,,,,,,,,
BWBS2012,BWBSwk3,BWBSwk3/111,Lt,2,2,2,,,,,,,,
BWBS2012,BWBSwk3,BWBSwk3/111,Pl,2,2,2,,,,,,,,
BWBS2012,BWBSwk3,BWBSwk3/111,Sb,1,1,1,,,,,,,,
Vancouver,CDFmm,CDFmm/01,Bg,3,2,2,,,47,,,,,
Vancouver,CDFmm,CDFmm/01,Cw,3,3,3,,,,,,,,
Vancouver,CDFmm,CDFmm/01,Dr,0,2,2,,,901,,,,,
Vancouver,CDFmm,CDFmm/01,Fd,1,1,1,,,,,,,,
Vancouver,CDFmm,CDFmm/01,Mb,0,2,2,,,901,,,,,
Vancouver,CDFmm,CDFmm/01,Pl,2,3,3,,,6,,,,,
Vancouver,CDFmm,CDFmm/01,Qg,0,3,3,,,901,,,,,
Vancouver,CDFmm,CDFmm/01,Ra,0,2,2,,,900,,,,,
Vancouver,CDFmm,CDFmm/02,Fd,1,1,2,Marginal Productivity,NonProd,,,,,,
Vancouver,CDFmm,CDFmm/02,Pl,2,2,2,Marginal Productivity,NonProd,6,,,,,
Vancouver,CDFmm,CDFmm/02,Qg,0,3,3,Marginal Productivity,NonProd,901,,,,,
Vancouver,CDFmm,CDFmm/02,Ra,0,1,1,Marginal Productivity,NonProd,900,,,,,
Vancouver,CDFmm,CDFmm/03,Fd,1,1,1,,,,,,,,
Vancouver,CDFmm,CDFmm/03,Pl,2,2,2,,,3,,,,,
Vancouver,CDFmm,CDFmm/03,Qg,0,2,2,,,901,,,,,
Vancouver,CDFmm,CDFmm/03,Ra,0,2,2,,,900,,,,,
Vancouver,CDFmm,CDFmm/04,Act,0,3,3,,,901,,,,,
Vancouver,CDFmm,CDFmm/04,Bg,3,2,2,,,,,,,,
Vancouver,CDFmm,CDFmm/04,Cw,3,3,3,,,,,,,,
Vancouver,CDFmm,CDFmm/04,Dr,0,2,2,,,901,,,,,
Vancouver,CDFmm,CDFmm/04,Fd,1,1,1,,,,,,,,
Vancouver,CDFmm,CDFmm/04,Mb,0,2,2,,,901,,,,,
Vancouver,CDFmm,CDFmm/04,Qg,0,2,2,,,901,,,,,
Vancouver,CDFmm,CDFmm/05,Act,0,3,3,,,901,,,,,
Vancouver,CDFmm,CDFmm/05,Cw,3,2,2,,,,,,,,
Vancouver,CDFmm,CDFmm/05,Dr,0,2,2,,,7,42,900,,,
Vancouver,CDFmm,CDFmm/05,Fd,1,1,1,,,,,,,,
Vancouver,CDFmm,CDFmm/05,Mb,0,2,2,,,901,,,,,
Vancouver,CDFmm,CDFmm/05,Qg,0,3,3,,,901,,,,,
Vancouver,CDFmm,CDFmm/05,Ra,0,2,2,,,900,,,,,
Vancouver,CDFmm,CDFmm/06,Act,0,2,1,,,42,900,,,,
Vancouver,CDFmm,CDFmm/06,Bg,1,1,1,,,47,,,,,
Vancouver,CDFmm,CDFmm/06,Cw,1,1,1,,,,,,,,
Vancouver,CDFmm,CDFmm/06,Dr,0,2,1,,,42,900,,,,
Vancouver,CDFmm,CDFmm/06,Fd,1,1,1,,,,,,,,
Vancouver,CDFmm,CDFmm/06,Mb,0,2,2,,,901,,,,,
Vancouver,CDFmm,CDFmm/06,Qg,0,3,3,,,901,,,,,
Vancouver,CDFmm,CDFmm/06,Ra,0,2,2,,,900,,,,,
Vancouver,CDFmm,CDFmm/07,Act,0,1,1,,,42,900,,,,
Vancouver,CDFmm,CDFmm/07,Bg,1,1,1,,,47,,,,,
Vancouver,CDFmm,CDFmm/07,Cw,1,1,1,,,,,,,,
Vancouver,CDFmm,CDFmm/07,Dr,0,1,1,,,42,900,,,,
Vancouver,CDFmm,CDFmm/07,Fd,1,1,1,,,,,,,,
Vancouver,CDFmm,CDFmm/07,Mb,0,2,2,,,901,,,,,
Vancouver,CDFmm,CDFmm/07,Qg,0,3,3,,,901,,,,,
Vancouver,CDFmm,CDFmm/07,Ra,0,2,2,,,900,,,,,
Vancouver,CDFmm,CDFmm/08,Act,0,1,1,,,42,900,,,,
Vancouver,CDFmm,CDFmm/08,Bg,2,2,2,,,1,47,,,,
Vancouver,CDFmm,CDFmm/08,Cw,2,1,1,,,1,,,,,
Vancouver,CDFmm,CDFmm/08,Dr,0,1,1,,,42,900,,,,
Vancouver,CDFmm,CDFmm/08,Mb,0,2,2,,,901,,,,,
Vancouver,CDFmm,CDFmm/08,Qg,0,3,3,,,901,,,,,
Vancouver,CDFmm,CDFmm/08,Ra,0,2,2,,,900,,,,,
Vancouver,CDFmm,CDFmm/09,Act,0,1,1,,,901,,,,,
Vancouver,CDFmm,CDFmm/09,Dr,0,1,1,,,901,,,,,
Vancouver,CDFmm,CDFmm/09,Mb,0,3,3,,,901,,,,,
Vancouver,CDFmm,CDFmm/10,Cw,3,3,3,Marginal Productivity,NonProd,1,,,,,
Vancouver,CDFmm,CDFmm/10,Pl,1,1,2,Marginal Productivity,NonProd,1,,,,,
Vancouver,CDFmm,CDFmm/11,Act,0,2,2,,,901,,,,,
Vancouver,CDFmm,CDFmm/11,Cw,1,1,1,,,1,,,,,
Vancouver,CDFmm,CDFmm/11,Dr,0,2,2,,,901,,,,,
Vancouver,CDFmm,CDFmm/11,Mb,0,3,3,,,901,,,,,
Vancouver,CDFmm,CDFmm/12,Act,0,1,1,,,901,,,,,
Vancouver,CDFmm,CDFmm/12,Bg,1,1,1,,,1,47,,,,
Vancouver,CDFmm,CDFmm/12,Cw,1,1,1,,,1,,,,,
