Region,BGC,Unit,Spp,RefSuit,ESuitAB,ESuit,Comment,NonProd,FN1,FN2,FN3,FN4,FN5,FN6
Nelson,ICHmk5,ICHmk5/101,Lw,2,,2,,,16,,,,,
Nelson,ICHmk5,ICHmk5/101,Pl,2,,2,,,,,,,,
Nelson,ICHmk5,ICHmk5/101,Bl,3,,3,,,10,13,,,,
Nelson,ICHmk5,ICHmk5/102,Fd,1,,2,,,,,,,,
Nelson,ICHmk5,ICHmk5/102,Pl,3,,3,,,,,,,,
Nelson,ICHmk5,ICHmk5/103,Fd,1,,1,,,,,,,,
Nelson,ICHmk5,ICHmk5/103,Lw,2,,2,,,16,,,,,
Nelson,ICHmk5,ICHmk5/103,Pl,2,,2,,,,,,,,
Nelson,ICHmk5,ICHmk5/104,Fd,1,,1,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/101,Sx,1,,1,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/101,Bl,2,,2,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/101,Pl,2,,1,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/101,Fd,3,,4,,,14,203,,,,
Nelson,ESSFdk1,ESSFdk1/101,Lw,3,,4,,,14,203,,,,
Nelson,ESSFdk1,ESSFdk1/102,Fd,1,,3,lower and warmer,,9,14,,,,
Nelson,ESSFdk1,ESSFdk1/102,Pl,1,,2,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/102,Sx,2,,2,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/102,Bl,3,,3,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/102,Pa,3,,3,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/102,Pf,3,,3,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/103,Pl,1,,1,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/103,Fd,2,,2,,,9,14,,,,
Nelson,ESSFdk1,ESSFdk1/103,Lw,2,,2,,,14,16,,,,
Nelson,ESSFdk1,ESSFdk1/103,Sx,2,,2,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/103,Bl,3,,3,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/103,Pa,3,,3,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/104,Pl,1,,1,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/104,Sx,1,,1,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/104,Bl,2,,2,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/104,Fd,2,,2,,,9,14,,,,
Nelson,ESSFdk1,ESSFdk1/104,Lw,2,,2,,,9,14,,,,
Nelson,ESSFdk1,ESSFdk1/104,Pa,3,,3,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/110,Sx,1,,1,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/110,Bl,2,,2,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/110,Pl,3,,3,,,,,,,,
Nelson,ESSFdk1,ESSFdk1/111,Sx,1,,2,Wet,,1,32,,,,
Nelson,ESSFdk1,ESSFdk1/111,Bl,2,,2,,,1,32,,,,
Nelson,ESSFdk2,ESSFdk2/101,Sx,1,,1,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/101,Bl,2,,2,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/101,Pl,2,,2,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/101,Fd,3,,3,,,14,,,,,
Nelson,ESSFdk2,ESSFdk2/101,Lw,3,,3,,,14,16,,,,
Nelson,ESSFdk2,ESSFdk2/101,Pa,3,,3,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/102,Fd,1,,2,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/102,Pl,1,,2,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/102,Sx,2,,2,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/102,Bl,3,,3,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/102,Lw,3,,3,,,9,14,16,,,
Nelson,ESSFdk2,ESSFdk2/102,Pa,3,,3,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/102,Pf,3,,3,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/103,Fd,1,,2,lower and warmer,,9,14,,,,
Nelson,ESSFdk2,ESSFdk2/103,Pl,1,,1,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/103,Sx,2,,2,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/103,Bl,3,,3,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/103,Lw,3,,3,,,9,14,16,,,
Nelson,ESSFdk2,ESSFdk2/103,Pa,3,,3,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/104,Pl,1,,2,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/104,Sx,1,,1,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/104,Bl,2,,2,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/104,Fd,2,,2,,,9,14,,,,
Nelson,ESSFdk2,ESSFdk2/104,Bl,2,,2,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/104,Lw,3,,3,,,9,14,16,,,
Nelson,ESSFdk2,ESSFdk2/104,Pa,3,,3,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/110,Sx,1,,1,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/110,Bl,2,,2,,,,,,,,
Nelson,ESSFdk2,ESSFdk2/111,Sx,1,,1,,,32,,,,,
Nelson,ESSFdk2,ESSFdk2/111,Bl,2,,2,,,32,,,,,
Nelson,ESSFdk2,ESSFdk2/112,Sx,1,,2,Wet,,1,32,,,,
Nelson,ESSFdk2,ESSFdk2/112,Bl,2,,2,,,1,32,,,,
Nelson,ESSFdk2,ESSFdk2/112,Pl,3,,3,,,,,,,,
Nelson,ESSFdkw,ESSFdkw/101,Bl,1,,2,woodland,,208,,,,,
Nelson,ESSFdkw,ESSFdkw/101,Sx,1,,2,woodland,,,,,,,
Nelson,ESSFdkw,ESSFdkw/102,Bl,1,,3,woodland,,208,,,,,
Nelson,ESSFdkw,ESSFdkw/102,La,2,,2,,,,,,,,
Nelson,ESSFdkw,ESSFdkw/102,Sx,2,,2,,,,,,,,
Nelson,ESSFdkw,ESSFdkw/102,Pa,3,,3,,,,,,,,
Nelson,ESSFdkw,ESSFdkw/103,Bl,1,,2,woodland,,208,,,,,
Nelson,ESSFdkw,ESSFdkw/103,Sx,1,,2,,,,,,,,
Nelson,ESSFdkw,ESSFdkw/103,Pa,2,,2,,,,,,,,
Nelson,ESSFdkw,ESSFdkw/103,La,3,,3,,,,,,,,
Nelson,ESSFdkw,ESSFdkw/110,Bl,1,,2,woodland,,208,,,,,
Nelson,ESSFdkw,ESSFdkw/110,Sx,1,,2,woodland,,,,,,,
Nelson,ESSFmm3,ESSFmm3/101,Sx,1,,1,,,,,,,,
Nelson,ESSFmm3,ESSFmm3/101,Bl,2,,2,,,,,,,,
Nelson,ESSFmm3,ESSFmm3/101,Pl,3,,3,,,34,,,,,
