BGC,rSMR0,rSMR1,rSMR2,rSMR3,rSMR4,rSMR5,rSMR6,rSMR7
ICH mw1,2,3,3,4,5,6,7,8
ICH mw2,2,3,3,4,5,6,7,8
ICH mw3,2,3,3,4,5,6,7,8
ICH mw4,2,3,3,4,5,6,7,8
ICH vc,3,4,4,5,6,6,7,8
ICH vk1,3,3,4,5,6,6,7,8
ICH vk2,3,4,4,5,6,6,7,8
ICH wc,3,3,4,5,5,6,7,8
ICH wk1,2,3,4,5,5,6,7,8
ICH wk2,2,3,4,5,5,6,7,8
ICH wk3,2,3,4,5,5,6,7,8
ICH wk4,2,3,4,5,5,6,7,8
ICH xw,2,2,2,3,4,6,7,8
IDF dk1,1,2,2,2,3,5,6,8
IDF dk2,1,2,2,2,3,5,6,8
IDF dk3,1,2,2,2,3,5,6,8
IDF dk4,1,2,2,2,3,5,6,8
IDF dk5,1,2,2,2,3,5,6,8
IDF dm1,1,2,2,2,3,5,6,8
IDF dm2,1,2,2,2,3,5,6,8
IDF mw1,2,2,2,3,4,5,7,8
IDF mw2,2,2,2,3,4,5,7,8
IDF ww,2,2,2,3,4,5,6,8
IDF xh1,1,1,2,2,3,4,6,8
IDF xh2,1,1,2,2,3,4,6,8
IDF xh4,1,1,2,2,3,5,6,8
IDF xm,1,1,2,2,3,4,6,8
IDF xw,1,1,2,2,3,4,6,8
IDF xx 2,1,1,1,2,3,4,6,8
MH mm1,4,4,5,5,6,6,7,8
MH mm2,4,4,5,5,5,6,7,8
MH wh1,4,4,5,5,6,6,7,8
MS dc1,2,2,2,3,4,6,7,8
MS dk1,2,2,2,3,4,6,7,8
MS dk2,2,2,2,3,4,6,7,8
MS dm1,2,2,2,3,4,6,7,8
MS dm2,2,2,2,3,4,6,7,8
MS xk1,2,2,2,3,4,5,6,8
MS xv,2,2,2,3,4,5,7,8
PP xh1,1,1,1,1,2,4,6,8
PP xh2,1,1,1,1,2,4,6,8
PP xh3,1,1,1,2,2,4,6,8
SBPS dc,1,1,2,3,4,5,6.5,8
SBPS mc,2,2,2,3,4,5,6.5,8
SBPS mk,1,2,2,3,4,5,6.5,8
SBPS xc,1,1,2,2,3,4,6,8
SBS dh1,2,3,3,4,4,5,6,8
SBS dk,2,3,3,4,4,5,6.5,8
SBS dw1,2,3,3,4,4,5,6,8
SBS dw2,2,3,3,4,4,5,6,8
SBS dw3,2,3,3,4,4,5,6,8
SBS mc1,2,3,3,4,5,6,7,8
SBS mc2,2,3,3,4,5,6,7,8
SBS mc3,2,3,3,4,5,6,7,8
SBS mh,2,3,3,4,4,6,7,8
SBS mk1,2,3,3,4,5,6,7,8
SBS mk2,2,3,3,4,5,6,7,8
SBS mm,2,3,3,4,5,6,7,8
SBS mw,2,3,3,4,5,6,7,8
SBS vk,3,4,4,5,6,6,7,8
SBS wk1,2,3,4,5,5,6,7,8
SBS wk2,2,3,4,5,5,6,7,8
SBS wk3,2,3,4,5,5,6,7,8
