BGC,rSMR0,rSMR1,rSMR2,rSMR3,rSMR4,rSMR5,rSMR6,rSMR7
BG xh1,1,1,1,1,1,4,6,8
BG xh2,1,1,1,1,1,4,6,8
BG xh3,1,1,1,1,1,4,6,8
BG xw1,1,1,1,1,1,4,6,8
BG xw2,1,1,1,1,1,4,6,8
BWBS dk,2,3,3,4,5,6,7,8
BWBS mk,2,3,3,4,5,6,7,8
BWBS mw,2,3,3,4,5,6,7,8
BWBS wk1,2,3,4,4,5,6,7,8
BWBS wk2,2,3,4,4,5,6,7,8
BWBS wk3,2,3,4,4,5,6,7,8
CDF mm,2,2,3,3,4,4,5,8
CWH dm,2,3,3,4,5,6,7,8
CWH ds1,2,3,3,4,5,6,7,8
CWH ds2,2,3,3,4,5,6,7,8
CWH mm1,3,4,4,5,5,6,7,8
CWH mm2,3,4,4,5,5,6,7,8
CWH ms1,2,3,3,4,5,6,7,8
CWH ms2,2,3,3,4,5,6,7,8
CWH vh1,4,4,5,5,6,7,8,8
CWH vh2,4,4,5,5,6,7,8,8
CWH vm1,3,4,4,5,5,6,7,8
CWH vm2,3,4,4,5,5,6,7,8
CWH wh1,4,4,4,5,6,6,7,8
CWH wh2,4,4,4,5,6,6,7,8
CWH wm,4,4,4,5,5,6,7,8
CWH ws1,2,3,3,4,5,6,7,8
CWH ws2,2,3,3,4,5,6,7,8
CWH xm1,2,3,3,4,5,6,7,8
ESSF dc1,2,3,3,4,5,6,7,8
ESSF dc2,2,3,3,4,5,6,7,8
ESSF dk1,2,3,3,4,5,6,7,8
ESSF dk2,2,3,3,4,5,6,7,8
ESSF dv1,2,3,3,4,5,6,7,8
ESSF mc,2,3,4,4,5,6,7,8
ESSF mk,2,3,3,4,5,6,7,8
ESSF mm1,2,3,3,4,5,6,7,8
ESSF mv1,2,3,4,4,5,6,7,8
ESSF mv2,2,3,4,4,5,6,7,8
ESSF mv3,2,3,4,4,5,6,7,8
ESSF mv4,2,3,4,4,5,6,7,8
ESSF mw,2,3,3,4,5,6,7,8
ESSF mw1,2,3,3,4,5,6,7,8
ESSF mw2,2,3,3,4,5,6,7,8
ESSF vc,3,4,4,5,6,7,7,8
ESSF wc2,3,3,4,5,6,6,7,8
ESSF wc3,3,3,4,5,6,6,7,8
ESSF wc4,3,3,4,5,6,6,7,8
ESSF wh1,3,3,4,5,6,6,7,8
ESSF wh3,3,3,4,5,5,6,7,8
ESSF wk1,3,3,4,5,6,6,7,8
ESSF wk2,3,3,4,5,6,6,7,8
ESSF wm1,3,3,4,5,5,6,7,8
ESSF wm3,3,3,4,5,5,6,7,8
ESSF wm4,2,3,3,4,5,6,7,8
ESSF wv,3,4,4,5,5,6,7,8
ESSF xc1,2,2,3,3,4,6,7,8
ESSF xv1,2,2,3,3,4,5,6,8
ICH dk,2,2,2,3,4,6,7,8
ICH dm,2,2,3,4,5,6,7,8
ICH dw1,2,2,2,3,4,6,7,8
ICH dw2,2,2,2,3,4,6,7,8
ICH mc1,2,3,4,4,5,6,7,8
ICH mc2,2,3,4,4,5,6,7,8
ICH mk1,2,3,3,4,4,6,7,8
ICH mk2,2,3,3,4,5,6,7,8
ICH mk3,2,3,3,4,5,6,7,8
ICH mk4,2,3,3,4,5,6,7,8
ICH mm,2,3,3,4,5,6,7,8
