BGC,DD5
IGFdmz,1405.762
IGFmmz,1485.438
IGFmwz,1643.456
IMA,477.098
IMAab,402.608
IMAun,262.41
IMAunp,455.94
IWFdcz,1435.402
IWFnvy,1230.920168
JPWcop,2077.732
JPWcow,2813.055556
JPWgbz,2112.958
JPWsrm,1822.872
JPWwy,1790.694
JPWwyp,1483.482
MDCH,3210.333333
MGP,2011.406
MHdmz,1017.844
MHdsz,915.0397351
MHmm1,880.444
MHmm2,709.82
MHmmp,583.9046763
MHmmz,996.342
MHmsz,823.118
MHmszp,582
MHun,669.566
MHunp,455.014
MHwh,810.452
MHwh1,907.038
MHwhp,790.586
MHRFmmz,1454.834
MHRFmsz,1320.174
MHRFmszp,1033.962
MHRFwmz,1127.474
MHRFwmzp,777.5
MSab,986.51
MScoa,1047.998
MScow,976.536
MSdc1,883.854
MSdc2,687.618
MSdc3,756.262
MSdk,1079.46
MSdm1,1068.83
MSdm2,967.414
MSdm3,1041.704
MSdmz,1220.443946
MSdv,657.79
MSdw,1143.144
MSdwz,1136.81
MSmw1,1070.042
MSmw2,1034.354
MSnvz,1224.902
MSutz,1240.714
MSxcy,1227.022989
MSxk1,877.71
MSxk2,859.744
MSxk3,727.49
MSxkz,1057.248485
MSxmz,1035.572
MSxv,642.096
MSxxy,1306.128514
MSxxz,981.914
MSSD,4601.854
OW,3989.9
PPcoz,1982.706
PPdxz,1956.577295
PPorz,1592.296
PPpum,1388.844
PPwy,1968.386
PPxh1,2093.766
PPxh2,1864.814
PPxh3,1977.024
PPxhz,2098.344
PPxxz,2096.396
PPxyz,2015.984
SASbo,807.81
SBAPcp,1399.27
SBAPfp,1172.516
SBPSdc,966.33
SBPSmc,845.356
SBPSmk,969.574
SBPSxc,843.282
SBSdh1,1326.734
SBSdh2,1080.29
SBSdk,1008.364
SBSdw1,1198.376
SBSdw2,1130.464
SBSdw3,1096.966
SBSmc1,913.54
SBSmc2,861.044
SBSmc3,840.816
SBSmh,1452.124
SBSmk1,984.028
SBSmk2,981.616
SBSmm,918.916
SBSmw,1152.678
SBSun,861.188
SBSvk,1027.386
SBSwk1,1045.476
SBSwk2,913.396
SBSwk3,881.386
SBSwk3a,928.218
SGP,2700.622
SWBmk,557.23
SWBmks,379.734
SWBun,504.334
SWBuns,395.136
SWBvk,605.764
SWBvks,412.5911824
WJP,1773.094
