BEC_Region,BGC_MapLabel,SS_NoSpace
NEL,ESSFdc1,ESSFdc1/110
NEL,ESSFdc1,ESSFdc1/111
NEL,ESSFdc1,ESSFdc1/112a
NEL,ESSFdc1,ESSFdc1/112b
NEL,ESSFdc1,ESSFdc1/Wb07
NEL,ESSFdc1,ESSFdc1/Ws08.2
NEL,ESSFdc1,ESSFdc1/112
NEL,ESSFdcw,ESSFdcw/101
NEL,ESSFdcw,ESSFdcw/102
NEL,ESSFdcw,ESSFdcw/103
NEL,ESSFdcw,ESSFdcw/110
NEL,ESSFmh,ESSFmh/101
NEL,ESSFmh,ESSFmh/102
NEL,ESSFmh,ESSFmh/103
NEL,ESSFmh,ESSFmh/104
NEL,ESSFmh,ESSFmh/105
NEL,ESSFmh,ESSFmh/110
NEL,ESSFmh,ESSFmh/111
NEL,ESSFmh,ESSFmh/112
NEL,ESSFmh,ESSFmh/112a
NEL,ESSFmh,ESSFmh/112b
NEL,ESSFmh,ESSFmh/Ws08.2
NEL,ICHdw4,ICHdw4/Fm01
NEL,ICHdw4,ICHdw4/Fm02
NEL,ICHdw4,ICHdw4/Fm04
NEL,ICHdw4,ICHdw4/101
NEL,ICHdw4,ICHdw4/102
NEL,ICHdw4,ICHdw4/103
NEL,ICHdw4,ICHdw4/104
NEL,ICHdw4,ICHdw4/110
NEL,ICHdw4,ICHdw4/111
NEL,ICHdw4,ICHdw4/112
NEL,ICHmk1,ICHmk1/101
NEL,ICHmk1,ICHmk1/102
NEL,ICHmk1,ICHmk1/103
NEL,ICHmk1,ICHmk1/104
NEL,ICHmk1,ICHmk1/105
NEL,ICHmk1,ICHmk1/110
NEL,ICHmk1,ICHmk1/111
NEL,ICHmk1,ICHmk1/112
NEL,ICHmk1,ICHmk1/113
NEL,ICHmw5,ICHmw5/104
NEL,ICHmw5,ICHmw5/110
NEL,ICHmw5,ICHmw5/111.2
NEL,ICHmw5,ICHmw5/112
NEL,ICHmw5,ICHmw5/113
NEL,ICHmw5,ICHmw5/Fm01
NEL,ICHmw5,ICHmw5/101
NEL,ICHmw5,ICHmw5/102
NEL,ICHmw5,ICHmw5/103
NEL,ICHmw5,ICHmw5/111
NEL,ICHmw5,ICHmw5/111.1
NEL,ICHmw5,ICHmw5/Fm02
NEL,ICHxm1,ICHxm1/101
NEL,ICHxm1,ICHxm1/102
NEL,ICHxm1,ICHxm1/103
NEL,ICHxm1,ICHxm1/104
NEL,ICHxm1,ICHxm1/104.1
NEL,ICHxm1,ICHxm1/104.2
NEL,ICHxm1,ICHxm1/110
NEL,ICHxm1,ICHxm1/111
NEL,ICHxm1,ICHxm1/112
NEL,IDFdh,IDFdh/101
NEL,IDFdh,IDFdh/102
NEL,IDFdh,IDFdh/103
NEL,IDFdh,IDFdh/104
NEL,IDFdh,IDFdh/110
NEL,IDFdh,IDFdh/111
NEL,IDFdm1,IDFdm1/101
NEL,IDFdm1,IDFdm1/102
NEL,IDFdm1,IDFdm1/103
NEL,IDFdm1,IDFdm1/104
NEL,IDFdm1,IDFdm1/110.1
NEL,IDFdm1,IDFdm1/110.2
NEL,IDFdm1,IDFdm1/111
NEL,IDFdm1,IDFdm1/112
NEL,IDFxx1,IDFxx1/101
NEL,IDFxx1,IDFxx1/102
NEL,IDFxx1,IDFxx1/103
NEL,IDFxx1,IDFxx1/104
NEL,IDFxx1,IDFxx1/110
NEL,IDFxx1,IDFxx1/111
NEL,MSdm1,MSdm1/101
NEL,MSdm1,MSdm1/102
NEL,MSdm1,MSdm1/103
NEL,MSdm1,MSdm1/104
NEL,MSdm1,MSdm1/110
NEL,MSdm1,MSdm1/111
NEL,MSdm1,MSdm1/112
NEL,MSdm1,MSdm1/113
PR,ESSFmcw,ESSFmcw/101
PR,ESSFmcw,ESSFmcw/101a
PR,ESSFmcw,ESSFmcw/101b
PR,ESSFmcw,ESSFmcw/102
PR,ESSFmcw,ESSFmcw/103
PR,ESSFmcw,ESSFmcw/110
PR,ESSFmcw,ESSFmcw/111
PR,ESSFmkw,ESSFmkw/101
PR,ESSFmkw,ESSFmkw/102
PR,ESSFmkw,ESSFmkw/103
PR,ESSFmkw,ESSFmkw/104
PR,ESSFmkw,ESSFmkw/110
PR,ESSFmkw,ESSFmkw/111
PR,ESSFwvw,ESSFwvw/101
PR,ESSFwvw,ESSFwvw/102
PR,ESSFwvw,ESSFwvw/103
PR,ESSFwvw,ESSFwvw/104
PR,ESSFwvw,ESSFwvw/105
PR,ESSFwvw,ESSFwvw/110
PR,ESSFwvw,ESSFwvw/111
