BEC_Region,BGC_MapLabel,SS_NoSpace
KA,BGxh1,BGxh1/102
KA,BGxh1,BGxh1/103
KA,BGxh1,BGxh1/110
KA,BGxh2,BGxh1/Fm01
KA,BGxh2,BGxh1/Fm06
KA,BGxh2,BGxh2/102
KA,BGxh2,BGxh2/110
KA,BGxh2,BGxh2/Fm01
KA,PPxh2,BGxh2/Fm05
KA,BGxh2,BGxh2/Fm06
KA,BGxw1,BGxw1/102
KA,BGxw1,BGxw1/110
KA,BGxw1,BGxw1/111
KA,BGxw1,BGxw1/112$6B.1
KA,BGxw1,BGxw1/Ff04
KA,BGxw1,BGxw1/Fm01
KA,BGxw1,BGxw1/Fm05
KA,ESSFdc2,ESSFdc2/101
KA,ESSFdc2,ESSFdc2/102
KA,ESSFdc2,ESSFdc2/103
KA,ESSFdc2,ESSFdc2/104
KA,ESSFdc2,ESSFdc2/104a
KA,ESSFdc2,ESSFdc2/104b
KA,ESSFdc2,ESSFdc2/110
KA,ESSFdc2,ESSFdc2/111
KA,ESSFdc2,ESSFdc2/112
KA,ESSFdh1,ESSFdh1/101
KA,ESSFdh1,ESSFdh1/102
KA,ESSFdh1,ESSFdh1/103
KA,ESSFdh1,ESSFdh1/104
KA,ESSFdh1,ESSFdh1/110
KA,ESSFdh1,ESSFdh1/111
KA,ESSFmw1,ESSFmw1/101
KA,ESSFmw1,ESSFmw1/101.1
KA,ESSFmw1,ESSFmw1/101.2
KA,ESSFmw1,ESSFmw1/102
KA,ESSFmw1,ESSFmw1/102.1
KA,ESSFmw1,ESSFmw1/102.2
KA,ESSFmw1,ESSFmw1/103
KA,ESSFmw1,ESSFmw1/104
KA,ESSFmw1,ESSFmw1/105
KA,ESSFmw1,ESSFmw1/110
KA,ESSFmw1,ESSFmw1/111
KA,ESSFmww,ESSFmww/101
KA,ESSFmww,ESSFmww/102
KA,ESSFmww,ESSFmww/103
KA,ESSFmww,ESSFmww/110
KA,ESSFxc1,ESSFxc1/101
KA,ESSFxc1,ESSFxc1/102
KA,ESSFxc1,ESSFxc1/103
KA,ESSFxc1,ESSFxc1/104
KA,ESSFxc1,ESSFxc1/105
KA,ESSFxc1,ESSFxc1/110
KA,ESSFxc1,ESSFxc1/111
KA,ESSFxc1,ESSFxc1/112
KA,ESSFxc1,ESSFxc1/113
KA,ESSFxc2,ESSFxc2/101
KA,ESSFxc2,ESSFxc2/102
KA,ESSFxc2,ESSFxc2/103
KA,ESSFxc2,ESSFxc2/103a
KA,ESSFxc2,ESSFxc2/103b
KA,ESSFxc2,ESSFxc2/110
KA,ESSFxc2,ESSFxc2/111
KA,ESSFxc2,ESSFxc2/112
KA,ESSFxc2,ESSFxc2/Ws12
KA,ESSFxcw,ESSFxcw/101
KA,ESSFxcw,ESSFxcw/102
KA,ESSFxcw,ESSFxcw/103
KA,ESSFxcw,ESSFxcw/110
KA,IDFdk1,IDFdk1/101
KA,IDFdk1,IDFdk1/102
KA,IDFdk1,IDFdk1/103
KA,IDFdk1,IDFdk1/104
KA,IDFdk1,IDFdk1/105
KA,IDFdk1,IDFdk1/110
KA,IDFdk1,IDFdk1/110$6B.1
KA,IDFdk1,IDFdk1/111
KA,IDFdk1,IDFdk1/Fm02
KA,IDFdk1,IDFdk1/Fm05
KA,IDFdk2,IDFdk2/101
KA,IDFdk2,IDFdk2/102
KA,IDFdk2,IDFdk2/103
KA,IDFdk2,IDFdk2/104
KA,IDFdk2,IDFdk2/105
KA,IDFdk2,IDFdk2/110
KA,IDFdk2,IDFdk2/111
KA,IDFdk2,IDFdk2/Fm02
KA,IDFxh1,IDFxh1/101
KA,IDFxh1,IDFxh1/102
KA,IDFxh1,IDFxh1/102.1
KA,IDFxh1,IDFxh1/102.2
KA,IDFxh1,IDFxh1/103
KA,IDFxh1,IDFxh1/104
KA,IDFxh1,IDFxh1/105
KA,IDFxh1,IDFxh1/106
KA,IDFxh1,IDFxh1/110
KA,IDFxh1,IDFxh1/111
KA,IDFxh1,IDFxh1/111.1
KA,IDFxh1,IDFxh1/111.2
KA,IDFxh1,IDFxh1/112
KA,IDFxh1,IDFxh1/Fm01
KA,IDFxh1,IDFxh1/Fm05
KA,IDFxh2,IDFxh2/101
KA,IDFxh2,IDFxh2/102
KA,IDFxh2,IDFxh2/103
KA,IDFxh2,IDFxh2/104
KA,IDFxh2,IDFxh2/110
KA,IDFxh2,IDFxh2/111
KA,IDFxh2,IDFxh2/112
KA,IDFxh2,IDFxh2/113
KA,IDFxh2,IDFxh2/Fm01
KA,IDFxh2,IDFxh2/Fm02
KA,IDFxh2,IDFxh2/Fm05
KA,MSdm2,MSdm2/101
KA,MSdm2,MSdm2/102
KA,MSdm2,MSdm2/103
KA,MSdm2,MSdm2/104
KA,MSdm2,MSdm2/105
KA,MSdm2,MSdm2/110
KA,MSdm2,MSdm2/111
KA,MSdm2,MSdm2/112
KA,MSdm2,MSdm2/113
KA,MSxk1,MSxk1/101
KA,MSxk1,MSxk1/102
KA,MSxk1,MSxk1/103
KA,MSxk1,MSxk1/104
KA,MSxk1,MSxk1/105
KA,MSxk1,MSxk1/110
KA,MSxk1,MSxk1/111
KA,MSxk1,MSxk1/112
KA,MSxk1,MSxk1/113
KA,MSxk2,MSxk2/101
KA,MSxk2,MSxk2/102
KA,MSxk2,MSxk2/103
KA,MSxk2,MSxk2/104
KA,MSxk2,MSxk2/105
KA,MSxk2,MSxk2/106
KA,MSxk2,MSxk2/110
KA,MSxk2,MSxk2/111
KA,MSxk2,MSxk2/112
KA,PPxh1,PPxh1/101
KA,PPxh1,PPxh1/102
KA,PPxh1,PPxh1/103
KA,PPxh1,PPxh1/104
KA,PPxh1,PPxh1/110
KA,PPxh1,PPxh1/111
KA,PPxh1,PPxh1/Fm01
KA,PPxh1,PPxh1/Fm05
KA,PPxh1,PPxh1/Fm06
KA,PPxh2,PPxh2/101
KA,PPxh2,PPxh2/102
KA,PPxh2,PPxh2/103
KA,PPxh2,PPxh2/103a
KA,PPxh2,PPxh2/103b
KA,PPxh2,PPxh2/110
KA,PPxh2,PPxh2/110.1
KA,PPxh2,PPxh2/110.2
KA,PPxh2,PPxh2/111
KA,PPxh2,PPxh2/Fm01
KA,PPxh2,PPxh2/Fm05
NEL,ESSFdc1,ESSFdc1/101
NEL,ESSFdc1,ESSFdc1/102
NEL,ESSFdc1,ESSFdc1/103
NEL,ESSFdc1,ESSFdc1/104
