,Unit,Codes
3604,ESSFdcw/102,NA
3608,ESSFdcw/103,NA
3611,ESSFdcw/110,NA
3614,ESSFdcw/111,NA
3620,ESSFdcw/112,NA
3623,ESSFdhz/101,NA
3629,ESSFdhz/102,NA
3633,ESSFdhz/103,NA
3637,ESSFdhz/110,NA
3641,ESSFdhz/111,NA
3645,ESSFdk1/101,NA
3648,ESSFdk1/102,NA
3653,ESSFdk1/103,NA
3656,ESSFdk1/104,NA
3660,ESSFdk1/110,NA
3663,ESSFdk1/111,NA
3669,ESSFdk1/Ro,NA
3672,ESSFdk2/101,NA
3675,ESSFdk2/102,NA
3678,ESSFdk2/103,NA
3682,ESSFdk2/104,NA
3687,ESSFdk2/110,NA
3689,ESSFdk2/111,NA
3692,ESSFdk2/112,NA
3698,ESSFdk2/Ro,NA
3702,ESSFdkp/00,NA
3742,ESSFdkw/101,NA
3748,ESSFdkw/102,NA
3753,ESSFdkw/103,NA
3759,ESSFdkw/110,NA
3763,ESSFdkw/Ro,NA
3766,ESSFdkz/101,NA
3772,ESSFdkz/102,NA
3780,ESSFdkz/110,NA
3784,ESSFdkz/111,NA
3788,ESSFdv1/01,NA
3797,ESSFdv1/02,NA
3804,ESSFdv1/03,NA
3813,ESSFdv1/04,NA
3821,ESSFdv1/05,NA
3836,ESSFdv1/06,NA
3846,ESSFdv2/01,NA
3855,ESSFdv2/02,NA
3862,ESSFdv2/03,NA
3871,ESSFdv2/04,NA
3879,ESSFdv2/05,NA
3894,ESSFdv2/06,NA
3904,ESSFdvp/00,NA
3944,ESSFdvw/01,NA
3953,ESSFdvw/02,NA
3960,ESSFdvw/03,NA
3969,ESSFdvw/04,NA
3977,ESSFdvw/05,NA
3992,ESSFdvw/06,NA
4002,ESSFmc/01,NA
4005,ESSFmc/02,NA
4011,ESSFmc/03,NA
4014,ESSFmc/04,NA
4018,ESSFmc/05,NA
4020,ESSFmc/06,NA
4022,ESSFmc/07,NA
4026,ESSFmc/08,NA
4031,ESSFmc/09,NA
4035,ESSFmc/10,NA
4038,ESSFmcp/00,NA
4078,ESSFmh/101,NA
4081,ESSFmh/102,NA
4084,ESSFmh/103,NA
4087,ESSFmh/104,NA
4091,ESSFmh/105,NA
4094,ESSFmh/110,NA
4098,ESSFmh/111,NA
4104,ESSFmh/112,NA
4107,ESSFmk/01,NA
4110,ESSFmk/02,NA
4119,ESSFmk/03,NA
4123,ESSFmk/04,NA
4127,ESSFmk/05,NA
4132,ESSFmk/06,NA
4136,ESSFmk/07,NA
4140,ESSFmkp/00,NA
4180,ESSFmm1/01,NA
4186,ESSFmm1/02,NA
4188,ESSFmm1/03,NA
4191,ESSFmm1/04,NA
4193,ESSFmm1/05,NA
4196,ESSFmm1/06,NA
4204,ESSFmm1/07,NA
4206,ESSFmm2/01,NA
4216,ESSFmm2/02,NA
4222,ESSFmm2/03,NA
4235,ESSFmm2/04,NA
4245,ESSFmm2/05,NA
4258,ESSFmm2/06,NA
4264,ESSFmm2/07,NA
4266,ESSFmm3/101,NA
4269,ESSFmm3/102,NA
4273,ESSFmm3/103,NA
4276,ESSFmm3/104,NA
4280,ESSFmm3/110,NA
4283,ESSFmm3/111,NA
4287,ESSFmm3/112,NA
4293,ESSFmm3/Ro,NA
4296,ESSFmmp/00,NA
4336,ESSFmmw/01,NA
4342,ESSFmmw/02,NA
4344,ESSFmmw/03,NA
4347,ESSFmmw/04,NA
4349,ESSFmmw/05,NA
4352,ESSFmmw/06,NA
4360,ESSFmv1/01,NA
4363,ESSFmv1/02,NA
4367,ESSFmv1/03,NA
4371,ESSFmv1/04,NA
4375,ESSFmv1/05,NA
4379,ESSFmv2/01,NA
4383,ESSFmv2/02,NA
4387,ESSFmv2/03,CA
4394,ESSFmv2/04,NA
4398,ESSFmv2/05,NA
4400,ESSFmv2/06,NA
4404,ESSFmv3/01,NA
4410,ESSFmv3/02,NA
4414,ESSFmv3/03,NA
4420,ESSFmv3/04,NA
4424,ESSFmv3/05,NA
4426,ESSFmv3/06,NA
4430,ESSFmv3/07,NA
4432,ESSFmv4/01,NA
4437,ESSFmv4/02,NA
4439,ESSFmv4/03,CA
4447,ESSFmv4/04,NA
4450,ESSFmv4/05,NA
4453,ESSFmvp/00,NA
4493,ESSFmw/01,NA
4501,ESSFmw/02,NA
4509,ESSFmw/03,NA
4521,ESSFmw/04,NA
4530,ESSFmw/05,NA
4536,ESSFmw/06,NA
4545,ESSFmw/07,NA
4551,ESSFmw/08,NA
4557,ESSFmw1/01,NA
4565,ESSFmw1/02,NA
4573,ESSFmw1/03,NA
4585,ESSFmw1/04,NA
4594,ESSFmw1/05,NA
4600,ESSFmw1/06,NA
4609,ESSFmw1/07,NA
4615,ESSFmw1/08,NA
4621,ESSFmw2/01,NA
4629,ESSFmw2/02,NA
4637,ESSFmw2/03,NA
4649,ESSFmw2/04,NA
4658,ESSFmw2/05,NA
4664,ESSFmw2/06,NA
4673,ESSFmw2/07,NA
4679,ESSFmw2/08,NA
4685,ESSFmwp/00,NA
4725,ESSFmww/01,NA
4733,ESSFmww/02,NA
4741,ESSFmww/03,NA
4753,ESSFmww/04,NA
4762,ESSFmww/05,NA
4768,ESSFmww/06,NA
4777,ESSFmww/07,NA
4783,ESSFmww/08,NA
4789,ESSFmwz/101,NA
4795,ESSFmwz/102,NA
4799,ESSFmwz/103,NA
4803,ESSFmwz/110,NA
4807,ESSFmwz/111,NA
4811,ESSFmwzp/00,NA
4851,ESSFun/d,NA
4866,ESSFun/h,NA
4881,ESSFun/m,NA
4891,ESSFunp/00,NA
4931,ESSFvc/01,NA
4943,ESSFvc/02,NA
4949,ESSFvc/03,NA
4962,ESSFvc/04,NA
4974,ESSFvc/05,NA
4984,ESSFvc/06,NA
4993,ESSFvcp/00,NA
5033,ESSFvcw/01,NA
5045,ESSFvcw/02,NA
5051,ESSFvcw/03,NA
5064,ESSFvcw/04,NA
5076,ESSFvcw/05,NA
5086,ESSFvcw/06,NA
5095,ESSFvmz/101,NA
5101,ESSFvmz/102,NA
5109,ESSFvmz/110,NA
5113,ESSFvmz/111,NA
5117,ESSFwc2/01,NA
5121,ESSFwc2/02,NA
5125,ESSFwc2/03,NA
5130,ESSFwc2/04,NA
5134,ESSFwc2/05,NA
5138,ESSFwc2/06,NA
5142,ESSFwc2/07,NA
5146,ESSFwc2/08,NA
5150,ESSFwc2/09,NA
5154,ESSFwc2/10,NA
5159,ESSFwc3/01,NA
5165,ESSFwc3/02,NA
5175,ESSFwc3/03,NA
5183,ESSFwc4/101,NA
5186,ESSFwc4/102,NA
5190,ESSFwc4/103,NA
5194,ESSFwc4/110,NA
5197,ESSFwc4/111,NA
5201,ESSFwc4/112,NA
5206,ESSFwcp/00,NA
5246,ESSFwcw/101,NA
5251,ESSFwcw/102,NA
5253,ESSFwcw/103,NA
5257,ESSFwcw/104,NA
5262,ESSFwcw/110,NA
5268,ESSFwh1/101,NA
5271,ESSFwh1/102,NA
5274,ESSFwh1/103,NA
5277,ESSFwh1/104,NA
5280,ESSFwh1/110,NA
5284,ESSFwh1/111,NA
5290,ESSFwh2/101,NA
5295,ESSFwh2/102,NA
5300,ESSFwh2/103,NA
5303,ESSFwh2/104,NA
5306,ESSFwh2/110,NA
5309,ESSFwh2/111,NA
5313,ESSFwh2/112,NA
5319,ESSFwh3/101,NA
5323,ESSFwh3/102,NA
5326,ESSFwh3/103,NA
5329,ESSFwh3/104,NA
5332,ESSFwh3/110,NA
5335,ESSFwh3/111,NA
5340,ESSFwh3/112,NA
5346,ESSFwhz/101,NA
5352,ESSFwhz/102,NA
5360,ESSFwhz/110,NA
5364,ESSFwhz/111,NA
5368,ESSFwk1/01,NA
5374,ESSFwk1/02,NA
5381,ESSFwk1/03,NA
5388,ESSFwk1/04,NA
5390,ESSFwk1/05,NA
5392,ESSFwk1/06,NA
5399,ESSFwk1/07,NA
5407,ESSFwk2/01,NA
5414,ESSFwk2/02,NA
5418,ESSFwk2/03,NA
5422,ESSFwk2/04,NA
5426,ESSFwk2/05,NA
5429,ESSFwk2/06,NA
5431,ESSFwm1/101,NA
5434,ESSFwm1/102,NA
5439,ESSFwm1/103,NA
5442,ESSFwm1/104,NA
5445,ESSFwm1/110,NA
5448,ESSFwm1/111,NA
5452,ESSFwm1/112,NA
5458,ESSFwm1/Ro,NA
5461,ESSFwm2/101,NA
5464,ESSFwm2/102,NA
5467,ESSFwm2/103,NA
5471,ESSFwm2/104,NA
5475,ESSFwm2/110,NA
5478,ESSFwm2/111,NA
5482,ESSFwm2/112,NA
5488,ESSFwm3/101,NA
5492,ESSFwm3/102,NA
5496,ESSFwm3/103,NA
5499,ESSFwm3/104,NA
5503,ESSFwm3/105,NA
5506,ESSFwm3/110,NA
5509,ESSFwm3/111,NA
5512,ESSFwm3/112,NA
5517,ESSFwm4/101,NA
5520,ESSFwm4/102,NA
5525,ESSFwm4/103,NA
5530,ESSFwm4/110,NA
5533,ESSFwm4/111,NA
5541,ESSFwmp/00,NA
5581,ESSFwmw/101,NA
5586,ESSFwmw/102,NA
5589,ESSFwmw/103,NA
5592,ESSFwmw/110,NA
5596,ESSFwmz/101,NA
5602,ESSFwmz/102,NA
5606,ESSFwmz/103,NA
5610,ESSFwmz/110,NA
5614,ESSFwmz/111,NA
5618,ESSFwv/01,NA
5621,ESSFwv/02,NA
5628,ESSFwv/03,NA
5631,ESSFwv/04,NA
5634,ESSFwv/05,NA
5638,ESSFwv/06,NA
5641,ESSFwv/07,NA
5645,ESSFwv/08,NA
5649,ESSFwv/09,NA
5652,ESSFwvp/00,NA
5692,ESSFxc1/01,NA
5700,ESSFxc1/02,NA
5709,ESSFxc1/03,NA
5713,ESSFxc1/04,NA
5717,ESSFxc1/05,NA
5728,ESSFxc1/06,NA
5734,ESSFxc1/07,NA
5742,ESSFxc1/08,NA
5746,ESSFxc1/09,NA
5750,ESSFxc1/10,NA
5754,ESSFxc1/Gg,NA
5760,ESSFxc2/01,NA
5768,ESSFxc2/02,NA
5777,ESSFxc2/03,NA
5781,ESSFxc2/04,NA
5785,ESSFxc2/05,NA
5796,ESSFxc2/06,NA
5802,ESSFxc2/07,NA
5810,ESSFxc2/08,NA
5814,ESSFxc2/09,NA
