Spp,aSMR,SNR,rSI
Fd,0,A,0
Fd,0,B,0
Fd,0,C,0
Fd,0,D,0
Fd,0,E,0
Fd,0.5,A,0
Fd,0.5,B,0
Fd,0.5,C,0
Fd,0.5,D,0
Fd,0.5,E,0
Fd,1,A,0
Fd,1,B,0.2
Fd,1,C,0.2
Fd,1,D,0.3
Fd,1,E,0.3
Fd,1.5,A,0
Fd,1.5,B,0.2
Fd,1.5,C,0.2
Fd,1.5,D,0.3
Fd,1.5,E,0.3
Fd,2,A,0.4
Fd,2,B,0.5
Fd,2,C,0.6
Fd,2,D,0.6
Fd,2,E,0.6
Fd,2.5,A,0.4
Fd,2.5,B,0.5
Fd,2.5,C,0.6
Fd,2.5,D,0.6
Fd,2.5,E,0.6
Fd,3,A,0.4
Fd,3,B,0.6
Fd,3,C,0.7
Fd,3,D,0.75
Fd,3,E,0.75
Fd,3.5,A,0.4
Fd,3.5,B,0.6
Fd,3.5,C,0.7
Fd,3.5,D,0.75
Fd,3.5,E,0.75
Fd,4,A,0.4
Fd,4,B,0.8
Fd,4,C,0.85
Fd,4,D,0.85
Fd,4,E,0.85
Fd,4.5,A,0.4
Fd,4.5,B,0.8
Fd,4.5,C,0.85
Fd,4.5,D,0.85
Fd,4.5,E,0.85
Fd,5,A,0.4
Fd,5,B,0.85
Fd,5,C,0.9
Fd,5,D,0.95
Fd,5,E,0.95
Fd,5.5,A,0.4
Fd,5.5,B,0.85
Fd,5.5,C,0.9
Fd,5.5,D,0.95
Fd,5.5,E,0.95
Fd,6,A,0.4
Fd,6,B,0.85
Fd,6,C,0.95
Fd,6,D,1
Fd,6,E,1
Fd,6.5,A,0.4
Fd,6.5,B,0.85
Fd,6.5,C,0.95
Fd,6.5,D,1
Fd,6.5,E,1
Fd,7,A,0.4
Fd,7,B,0.5
Fd,7,C,0.6
Fd,7,D,0.7
Fd,7,E,0.7
Fd,7.5,A,0.2
Fd,7.5,B,0.25
Fd,7.5,C,0.3
Fd,7.5,D,0.35
Fd,7.5,E,0.35
Fd,8,A,0
Fd,8,B,0
Fd,8,C,0
Fd,8,D,0
Fd,8,E,0
Fd,8.5,A,0
Fd,8.5,B,0
Fd,8.5,C,0
Fd,8.5,D,0
Fd,8.5,E,0
Fd,9,A,0
Fd,9,B,0
Fd,9,C,0
Fd,9,D,0
Fd,9,E,0
